time_ns,id,truth_label,classification_state,feature_rcs,feature_length,predicted_class,predicted_prob,prob_TargetSmall,prob_TargetMedium,prob_TargetLarge,predicted_group,predicted_group_prob,group_prob_SmallTargets,group_prob_LargeTargets
0,1,TargetMedium,full,5.710791,1.448240,TargetMedium,0.811255,0.000007,0.811255,0.188738,LargeTargets,0.999993,0.000007,0.999993
0,0,TargetSmall,full,1.559812,0.859222,TargetSmall,0.957365,0.957365,0.042376,0.000259,SmallTargets,0.957365,0.957365,0.042635
0,2,TargetLarge,full,7.166346,1.005032,TargetMedium,0.516854,0.000000,0.516854,0.483146,LargeTargets,1.000000,0.000000,1.000000
1000000000,0,TargetSmall,full,0.391230,0.859222,TargetSmall,0.965526,0.965526,0.034312,0.000163,SmallTargets,0.965526,0.965526,0.034474
1000000000,1,TargetMedium,full,5.588870,1.448240,TargetMedium,0.831384,0.000014,0.831384,0.168602,LargeTargets,0.999986,0.000014,0.999986
1000000000,2,TargetLarge,full,9.159664,1.005032,TargetLarge,0.958980,0.000000,0.041020,0.958980,LargeTargets,1.000000,0.000000,1.000000
2000000000,1,TargetMedium,partial,4.202274,nan,TargetMedium,0.913568,0.043313,0.913568,0.043119,LargeTargets,0.956687,0.043313,0.956687
2000000000,2,TargetLarge,partial,9.444158,nan,TargetLarge,0.982822,0.000000,0.017178,0.982822,LargeTargets,1.000000,0.000000,1.000000
3000000000,1,TargetMedium,partial,6.701509,nan,TargetMedium,0.582867,0.000000,0.582867,0.417133,LargeTargets,1.000000,0.000000,1.000000
3000000000,2,TargetLarge,partial,7.949754,nan,TargetLarge,0.814294,0.000000,0.185706,0.814294,LargeTargets,1.000000,0.000000,1.000000
4000000000,0,TargetSmall,full,0.378624,0.958217,TargetSmall,0.957175,0.957175,0.042607,0.000218,SmallTargets,0.957175,0.957175,0.042825
4000000000,1,TargetMedium,partial,6.168789,nan,TargetMedium,0.734178,0.000002,0.734178,0.265820,LargeTargets,0.999998,0.000002,0.999998
4000000000,2,TargetLarge,partial,11.260456,nan,TargetLarge,0.999571,0.000000,0.000429,0.999571,LargeTargets,1.000000,0.000000,1.000000
5000000000,0,TargetSmall,full,1.690822,0.958217,TargetSmall,0.941124,0.941124,0.058472,0.000404,SmallTargets,0.941124,0.941124,0.058876
5000000000,1,TargetMedium,full,5.849169,0.225886,TargetMedium,0.899041,0.000043,0.899041,0.100916,LargeTargets,0.999957,0.000043,0.999957
5000000000,2,TargetLarge,full,6.244121,0.386697,TargetMedium,0.841434,0.000004,0.841434,0.158563,LargeTargets,0.999996,0.000004,0.999996
6000000000,1,TargetMedium,full,4.735571,0.225886,TargetMedium,0.954699,0.012270,0.954699,0.033031,LargeTargets,0.987730,0.012270,0.987730
6000000000,2,TargetLarge,full,10.396798,0.386697,TargetLarge,0.994319,0.000000,0.005681,0.994319,LargeTargets,1.000000,0.000000,1.000000
7000000000,1,TargetMedium,partial,6.178298,nan,TargetMedium,0.731893,0.000002,0.731893,0.268105,LargeTargets,0.999998,0.000002,0.999998
7000000000,2,TargetLarge,partial,9.526972,nan,TargetLarge,0.985253,0.000000,0.014747,0.985253,LargeTargets,1.000000,0.000000,1.000000
8000000000,1,TargetMedium,partial,2.735064,nan,TargetSmall,0.785820,0.785820,0.210632,0.003548,SmallTargets,0.785820,0.785820,0.214180
8000000000,2,TargetLarge,partial,7.313160,nan,TargetLarge,0.626173,0.000000,0.373827,0.626173,LargeTargets,1.000000,0.000000,1.000000
9000000000,0,TargetSmall,partial,1.965171,nan,TargetSmall,0.932955,0.932955,0.066277,0.000769,SmallTargets,0.932955,0.932955,0.067045
9000000000,1,TargetMedium,full,2.655400,1.201713,TargetSmall,0.657333,0.657333,0.338133,0.004534,SmallTargets,0.657333,0.657333,0.342667
9000000000,2,TargetLarge,partial,10.861169,nan,TargetLarge,0.998977,0.000000,0.001023,0.998977,LargeTargets,1.000000,0.000000,1.000000
10000000000,0,TargetSmall,full,2.558752,1.276815,TargetSmall,0.649910,0.649910,0.345323,0.004767,SmallTargets,0.649910,0.649910,0.350090
10000000000,1,TargetMedium,full,5.993427,1.201713,TargetMedium,0.804127,0.000003,0.804127,0.195870,LargeTargets,0.999997,0.000003,0.999997
10000000000,2,TargetLarge,full,8.663590,1.940549,TargetLarge,0.969952,0.000000,0.030048,0.969952,LargeTargets,1.000000,0.000000,1.000000
11000000000,1,TargetMedium,partial,6.818258,nan,TargetMedium,0.544347,0.000000,0.544347,0.455653,LargeTargets,1.000000,0.000000,1.000000
11000000000,2,TargetLarge,partial,5.851689,nan,TargetMedium,0.801428,0.000016,0.801428,0.198556,LargeTargets,0.999984,0.000016,0.999984
12000000000,1,TargetMedium,partial,3.599356,nan,TargetMedium,0.708784,0.270392,0.708784,0.020824,LargeTargets,0.729608,0.270392,0.729608
12000000000,2,TargetLarge,partial,7.770248,nan,TargetLarge,0.768315,0.000000,0.231685,0.768315,LargeTargets,1.000000,0.000000,1.000000
13000000000,1,TargetMedium,partial,4.910274,nan,TargetMedium,0.915273,0.002232,0.915273,0.082496,LargeTargets,0.997768,0.002232,0.997768
13000000000,2,TargetLarge,partial,12.588562,nan,TargetLarge,0.999981,0.000000,0.000019,0.999981,LargeTargets,1.000000,0.000000,1.000000
14000000000,0,TargetSmall,full,2.238120,0.755884,TargetSmall,0.923141,0.923141,0.076291,0.000568,SmallTargets,0.923141,0.923141,0.076859
14000000000,1,TargetMedium,partial,2.872105,nan,TargetSmall,0.729624,0.729624,0.265538,0.004838,SmallTargets,0.729624,0.729624,0.270376
14000000000,2,TargetLarge,partial,9.271508,nan,TargetLarge,0.976520,0.000000,0.023480,0.976520,LargeTargets,1.000000,0.000000,1.000000
15000000000,0,TargetSmall,full,2.563985,0.755884,TargetSmall,0.870334,0.870334,0.128542,0.001124,SmallTargets,0.870334,0.870334,0.129666
15000000000,1,TargetMedium,full,2.799548,0.448739,TargetSmall,0.865468,0.865468,0.133401,0.001130,SmallTargets,0.865468,0.865468,0.134532
15000000000,2,TargetLarge,full,8.789486,0.586755,TargetLarge,0.900839,0.000000,0.099161,0.900839,LargeTargets,1.000000,0.000000,1.000000
16000000000,2,TargetLarge,full,8.344750,0.586755,TargetLarge,0.810517,0.000000,0.189483,0.810517,LargeTargets,1.000000,0.000000,1.000000
16000000000,1,TargetMedium,partial,4.483879,nan,TargetMedium,0.929441,0.014476,0.929441,0.056083,LargeTargets,0.985524,0.014476,0.985524
17000000000,1,TargetMedium,partial,2.975915,nan,TargetSmall,0.678288,0.678288,0.315595,0.006117,SmallTargets,0.678288,0.678288,0.321712
17000000000,2,TargetLarge,partial,9.254024,nan,TargetLarge,0.975776,0.000000,0.024224,0.975776,LargeTargets,1.000000,0.000000,1.000000
18000000000,1,TargetMedium,partial,3.639519,nan,TargetMedium,0.731802,0.246056,0.731802,0.022141,LargeTargets,0.753944,0.246056,0.753944
18000000000,2,TargetLarge,partial,8.033755,nan,TargetLarge,0.833553,0.000000,0.166447,0.833553,LargeTargets,1.000000,0.000000,1.000000
19000000000,1,TargetMedium,partial,4.976775,nan,TargetMedium,0.910703,0.001633,0.910703,0.087664,LargeTargets,0.998367,0.001633,0.998367
19000000000,2,TargetLarge,partial,10.635747,nan,TargetLarge,0.998351,0.000000,0.001649,0.998351,LargeTargets,1.000000,0.000000,1.000000
20000000000,0,TargetSmall,full,1.393338,0.144592,TargetSmall,0.983892,0.983892,0.016040,0.000068,SmallTargets,0.983892,0.983892,0.016108
20000000000,1,TargetMedium,full,4.903433,1.668454,TargetMedium,0.882288,0.000191,0.882288,0.117521,LargeTargets,0.999809,0.000191,0.999809
20000000000,2,TargetLarge,full,8.839825,2.484735,TargetLarge,0.992033,0.000000,0.007967,0.992033,LargeTargets,1.000000,0.000000,1.000000
21000000000,0,TargetSmall,full,3.146812,0.144592,TargetSmall,0.775452,0.775452,0.222398,0.002151,SmallTargets,0.775452,0.775452,0.224548
21000000000,1,TargetMedium,full,1.251861,1.668454,TargetSmall,0.693655,0.693655,0.302254,0.004091,SmallTargets,0.693655,0.693655,0.306345
21000000000,2,TargetLarge,full,13.317457,2.484735,TargetLarge,1.000000,0.000000,0.000000,1.000000,LargeTargets,1.000000,0.000000,1.000000
22000000000,1,TargetMedium,partial,6.091750,nan,TargetMedium,0.752109,0.000004,0.752109,0.247888,LargeTargets,0.999996,0.000004,0.999996
22000000000,2,TargetLarge,partial,9.712320,nan,TargetLarge,0.989581,0.000000,0.010419,0.989581,LargeTargets,1.000000,0.000000,1.000000
23000000000,1,TargetMedium,partial,4.335796,nan,TargetMedium,0.924894,0.026154,0.924894,0.048952,LargeTargets,0.973846,0.026154,0.973846
23000000000,2,TargetLarge,partial,12.867680,nan,TargetLarge,0.999991,0.000000,0.000009,0.999991,LargeTargets,1.000000,0.000000,1.000000
24000000000,0,TargetSmall,partial,1.666835,nan,TargetSmall,0.951229,0.951229,0.048271,0.000500,SmallTargets,0.951229,0.951229,0.048771
24000000000,1,TargetMedium,partial,6.077192,nan,TargetMedium,0.755380,0.000004,0.755380,0.244616,LargeTargets,0.999996,0.000004,0.999996
24000000000,2,TargetLarge,full,7.927680,3.248075,TargetLarge,0.994576,0.000000,0.005424,0.994576,LargeTargets,1.000000,0.000000,1.000000
25000000000,0,TargetSmall,full,2.342410,0.234951,TargetSmall,0.949940,0.949940,0.049750,0.000311,SmallTargets,0.949940,0.949940,0.050060
25000000000,2,TargetLarge,full,7.324837,3.248075,TargetLarge,0.986624,0.000000,0.013376,0.986624,LargeTargets,1.000000,0.000000,1.000000
25000000000,1,TargetMedium,full,5.722969,1.020871,TargetMedium,0.870135,0.000025,0.870135,0.129840,LargeTargets,0.999975,0.000025,0.999975
26000000000,1,TargetMedium,full,4.061576,1.020871,TargetMedium,0.920107,0.052900,0.920107,0.026992,LargeTargets,0.947100,0.052900,0.947100
26000000000,2,TargetLarge,partial,9.026068,nan,TargetLarge,0.963891,0.000000,0.036109,0.963891,LargeTargets,1.000000,0.000000,1.000000
27000000000,1,TargetMedium,partial,4.779582,nan,TargetMedium,0.922679,0.004059,0.922679,0.073263,LargeTargets,0.995941,0.004059,0.995941
27000000000,2,TargetLarge,partial,10.929621,nan,TargetLarge,0.999116,0.000000,0.000884,0.999116,LargeTargets,1.000000,0.000000,1.000000
28000000000,1,TargetMedium,partial,6.381000,nan,TargetMedium,0.679422,0.000001,0.679422,0.320578,LargeTargets,0.999999,0.000001,0.999999
28000000000,2,TargetLarge,partial,10.306097,nan,TargetLarge,0.996750,0.000000,0.003250,0.996750,LargeTargets,1.000000,0.000000,1.000000
29000000000,0,TargetSmall,full,0.520158,0.468885,TargetSmall,0.982292,0.982292,0.017640,0.000068,SmallTargets,0.982292,0.982292,0.017708
29000000000,1,TargetMedium,partial,3.521927,nan,TargetMedium,0.661398,0.320224,0.661398,0.018378,LargeTargets,0.679776,0.320224,0.679776
29000000000,2,TargetLarge,partial,3.241086,nan,TargetSmall,0.515056,0.515056,0.474077,0.010867,SmallTargets,0.515056,0.515056,0.484944
30000000000,0,TargetSmall,full,1.996114,0.468885,TargetSmall,0.963394,0.963394,0.036397,0.000209,SmallTargets,0.963394,0.963394,0.036606
30000000000,2,TargetLarge,full,10.734459,0.606460,TargetLarge,0.997434,0.000000,0.002566,0.997434,LargeTargets,1.000000,0.000000,1.000000
30000000000,1,TargetMedium,full,4.306210,1.343641,TargetMedium,0.944108,0.008504,0.944108,0.047388,LargeTargets,0.991496,0.008504,0.991496
31000000000,1,TargetMedium,full,8.410018,1.343641,TargetLarge,0.899859,0.000000,0.100141,0.899859,LargeTargets,1.000000,0.000000,1.000000
31000000000,2,TargetLarge,partial,10.079218,nan,TargetLarge,0.994882,0.000000,0.005118,0.994882,LargeTargets,1.000000,0.000000,1.000000
32000000000,1,TargetMedium,partial,4.788652,nan,TargetMedium,0.922237,0.003896,0.922237,0.073867,LargeTargets,0.996104,0.003896,0.996104
32000000000,2,TargetLarge,partial,11.600690,nan,TargetLarge,0.999800,0.000000,0.000200,0.999800,LargeTargets,1.000000,0.000000,1.000000
33000000000,1,TargetMedium,partial,4.992956,nan,TargetMedium,0.909515,0.001512,0.909515,0.088973,LargeTargets,0.998488,0.001512,0.998488
33000000000,2,TargetLarge,partial,11.959698,nan,TargetLarge,0.999913,0.000000,0.000087,0.999913,LargeTargets,1.000000,0.000000,1.000000
34000000000,1,TargetMedium,partial,5.490835,nan,TargetMedium,0.858444,0.000121,0.858444,0.141435,LargeTargets,0.999879,0.000121,0.999879
34000000000,2,TargetLarge,partial,8.744790,nan,TargetLarge,0.942168,0.000000,0.057832,0.942168,LargeTargets,1.000000,0.000000,1.000000
35000000000,0,TargetSmall,full,3.695109,0.760455,TargetMedium,0.727732,0.259161,0.727732,0.013107,LargeTargets,0.740839,0.259161,0.740839
35000000000,2,TargetLarge,full,8.777592,1.557506,TargetLarge,0.956453,0.000000,0.043547,0.956453,LargeTargets,1.000000,0.000000,1.000000
35000000000,1,TargetMedium,full,3.575721,0.161023,TargetSmall,0.501324,0.501324,0.492286,0.006390,SmallTargets,0.501324,0.501324,0.498676
36000000000,0,TargetSmall,full,0.926877,0.760455,TargetSmall,0.973820,0.973820,0.026055,0.000125,SmallTargets,0.973820,0.973820,0.026180
36000000000,1,TargetMedium,full,3.278420,0.161023,TargetSmall,0.706500,0.706500,0.290433,0.003067,SmallTargets,0.706500,0.706500,0.293500
36000000000,2,TargetLarge,full,7.289519,1.557506,TargetLarge,0.673390,0.000000,0.326610,0.673390,LargeTargets,1.000000,0.000000,1.000000
37000000000,1,TargetMedium,partial,5.627959,nan,TargetMedium,0.839010,0.000057,0.839010,0.160933,LargeTargets,0.999943,0.000057,0.999943
37000000000,2,TargetLarge,partial,5.396224,nan,TargetMedium,0.870400,0.000200,0.870400,0.129400,LargeTargets,0.999800,0.000200,0.999800
38000000000,1,TargetMedium,partial,3.900573,nan,TargetMedium,0.848524,0.120163,0.848524,0.031314,LargeTargets,0.879837,0.120163,0.879837
38000000000,2,TargetLarge,partial,7.888110,nan,TargetLarge,0.799236,0.000000,0.200764,0.799236,LargeTargets,1.000000,0.000000,1.000000
39000000000,0,TargetSmall,full,0.751554,0.908278,TargetSmall,0.965158,0.965158,0.034663,0.000179,SmallTargets,0.965158,0.965158,0.034842
39000000000,1,TargetMedium,partial,3.199802,nan,TargetSmall,0.542948,0.542948,0.447077,0.009975,SmallTargets,0.542948,0.542948,0.457052
39000000000,2,TargetLarge,partial,9.299667,nan,TargetLarge,0.977675,0.000000,0.022325,0.977675,LargeTargets,1.000000,0.000000,1.000000
40000000000,0,TargetSmall,full,2.283536,0.908278,TargetSmall,0.891087,0.891087,0.107997,0.000916,SmallTargets,0.891087,0.891087,0.108913
40000000000,1,TargetMedium,full,6.449588,0.386537,TargetMedium,0.803723,0.000001,0.803723,0.196276,LargeTargets,0.999999,0.000001,0.999999
40000000000,2,TargetLarge,full,11.420797,0.699938,TargetLarge,0.999454,0.000000,0.000546,0.999454,LargeTargets,1.000000,0.000000,1.000000
41000000000,1,TargetMedium,full,3.851736,0.386537,TargetMedium,0.727725,0.260017,0.727725,0.012259,LargeTargets,0.739983,0.260017,0.739983
41000000000,2,TargetLarge,full,6.384171,0.699938,TargetMedium,0.793374,0.000001,0.793374,0.206625,LargeTargets,0.999999,0.000001,0.999999
42000000000,1,TargetMedium,partial,7.671937,nan,TargetLarge,0.740486,0.000000,0.259514,0.740486,LargeTargets,1.000000,0.000000,1.000000
42000000000,2,TargetLarge,partial,5.902343,nan,TargetMedium,0.791827,0.000012,0.791827,0.208161,LargeTargets,0.999988,0.000012,0.999988
43000000000,1,TargetMedium,partial,8.201962,nan,TargetLarge,0.867749,0.000000,0.132251,0.867749,LargeTargets,1.000000,0.000000,1.000000
43000000000,2,TargetLarge,partial,12.310923,nan,TargetLarge,0.999962,0.000000,0.000038,0.999962,LargeTargets,1.000000,0.000000,1.000000
44000000000,0,TargetSmall,partial,2.069253,nan,TargetSmall,0.923558,0.923558,0.075527,0.000915,SmallTargets,0.923558,0.923558,0.076442
44000000000,1,TargetMedium,partial,3.979993,nan,TargetMedium,0.872197,0.093521,0.872197,0.034282,LargeTargets,0.906479,0.093521,0.906479
44000000000,2,TargetLarge,full,8.438690,1.789868,TargetLarge,0.945334,0.000000,0.054666,0.945334,LargeTargets,1.000000,0.000000,1.000000
45000000000,1,TargetMedium,full,8.169668,0.674344,TargetLarge,0.771243,0.000000,0.228757,0.771243,LargeTargets,1.000000,0.000000,1.000000
45000000000,2,TargetLarge,full,8.351209,1.789868,TargetLarge,0.937325,0.000000,0.062675,0.937325,LargeTargets,1.000000,0.000000,1.000000
45000000000,0,TargetSmall,full,1.560598,0.804773,TargetSmall,0.961636,0.961636,0.038140,0.000224,SmallTargets,0.961636,0.961636,0.038364
46000000000,0,TargetSmall,full,4.549627,0.804773,TargetMedium,0.951032,0.013111,0.951032,0.035857,LargeTargets,0.986889,0.013111,0.986889
46000000000,1,TargetMedium,partial,6.458949,nan,TargetMedium,0.657381,0.000000,0.657381,0.342619,LargeTargets,1.000000,0.000000,1.000000
46000000000,2,TargetLarge,partial,9.688136,nan,TargetLarge,0.989093,0.000000,0.010907,0.989093,LargeTargets,1.000000,0.000000,1.000000
47000000000,1,TargetMedium,partial,3.448396,nan,TargetMedium,0.613584,0.370228,0.613584,0.016187,LargeTargets,0.629772,0.370228,0.629772
47000000000,2,TargetLarge,partial,9.962435,nan,TargetLarge,0.993562,0.000000,0.006438,0.993562,LargeTargets,1.000000,0.000000,1.000000
48000000000,1,TargetMedium,partial,3.282577,nan,TargetMedium,0.501735,0.486444,0.501735,0.011821,LargeTargets,0.513556,0.486444,0.513556
48000000000,2,TargetLarge,partial,7.233843,nan,TargetLarge,0.599036,0.000000,0.400964,0.599036,LargeTargets,1.000000,0.000000,1.000000
49000000000,0,TargetSmall,partial,1.665193,nan,TargetSmall,0.951303,0.951303,0.048199,0.000499,SmallTargets,0.951303,0.951303,0.048697
49000000000,1,TargetMedium,partial,2.684412,nan,TargetSmall,0.803466,0.803466,0.193367,0.003167,SmallTargets,0.803466,0.803466,0.196534
49000000000,2,TargetLarge,full,6.688968,0.743420,TargetMedium,0.715507,0.000000,0.715507,0.284493,LargeTargets,1.000000,0.000000,1.000000
50000000000,2,TargetLarge,full,6.914077,0.743420,TargetMedium,0.649836,0.000000,0.649836,0.350164,LargeTargets,1.000000,0.000000,1.000000
50000000000,1,TargetMedium,full,4.957368,0.828626,TargetMedium,0.944546,0.002055,0.944546,0.053399,LargeTargets,0.997945,0.002055,0.997945
50000000000,0,TargetSmall,full,1.100039,0.805122,TargetSmall,0.970424,0.970424,0.029424,0.000152,SmallTargets,0.970424,0.970424,0.029576
51000000000,0,TargetSmall,full,2.358919,0.805122,TargetSmall,0.899353,0.899353,0.099834,0.000813,SmallTargets,0.899353,0.899353,0.100647
51000000000,1,TargetMedium,full,1.674858,0.828626,TargetSmall,0.955645,0.955645,0.044081,0.000274,SmallTargets,0.955645,0.955645,0.044355
51000000000,2,TargetLarge,partial,12.740848,nan,TargetLarge,0.999987,0.000000,0.000013,0.999987,LargeTargets,1.000000,0.000000,1.000000
52000000000,1,TargetMedium,partial,5.738212,nan,TargetMedium,0.821445,0.000031,0.821445,0.178524,LargeTargets,0.999969,0.000031,0.999969
52000000000,2,TargetLarge,partial,9.360985,nan,TargetLarge,0.980012,0.000000,0.019988,0.980012,LargeTargets,1.000000,0.000000,1.000000
53000000000,1,TargetMedium,partial,3.706077,nan,TargetMedium,0.767192,0.208421,0.767192,0.024387,LargeTargets,0.791579,0.208421,0.791579
53000000000,2,TargetLarge,partial,10.265705,nan,TargetLarge,0.996473,0.000000,0.003527,0.996473,LargeTargets,1.000000,0.000000,1.000000
54000000000,0,TargetSmall,partial,0.034725,nan,TargetSmall,0.954889,0.954889,0.044773,0.000338,SmallTargets,0.954889,0.954889,0.045111
54000000000,1,TargetMedium,partial,4.115521,nan,TargetMedium,0.901292,0.059146,0.901292,0.039562,LargeTargets,0.940854,0.059146,0.940854
54000000000,2,TargetLarge,full,8.177419,1.459542,TargetLarge,0.876002,0.000000,0.123998,0.876002,LargeTargets,1.000000,0.000000,1.000000
55000000000,2,TargetLarge,full,11.247084,1.459542,TargetLarge,0.999605,0.000000,0.000395,0.999605,LargeTargets,1.000000,0.000000,1.000000
55000000000,1,TargetMedium,full,2.986531,0.959120,TargetSmall,0.633052,0.633052,0.362265,0.004683,SmallTargets,0.633052,0.633052,0.366948
55000000000,0,TargetSmall,full,2.082854,1.353044,TargetSmall,0.765187,0.765187,0.232030,0.002782,SmallTargets,0.765187,0.765187,0.234813
56000000000,0,TargetSmall,full,1.725929,1.353044,TargetSmall,0.834885,0.834885,0.163415,0.001700,SmallTargets,0.834885,0.834885,0.165115
56000000000,1,TargetMedium,full,5.486778,0.959120,TargetMedium,0.901879,0.000108,0.901879,0.098013,LargeTargets,0.999892,0.000108,0.999892
56000000000,2,TargetLarge,partial,10.777969,nan,TargetLarge,0.998778,0.000000,0.001222,0.998778,LargeTargets,1.000000,0.000000,1.000000
57000000000,1,TargetMedium,partial,2.840808,nan,TargetSmall,0.743595,0.743595,0.251899,0.004507,SmallTargets,0.743595,0.743595,0.256405
57000000000,2,TargetLarge,partial,10.772404,nan,TargetLarge,0.998764,0.000000,0.001236,0.998764,LargeTargets,1.000000,0.000000,1.000000
58000000000,1,TargetMedium,partial,5.668260,nan,TargetMedium,0.832798,0.000046,0.832798,0.167157,LargeTargets,0.999954,0.000046,0.999954
58000000000,2,TargetLarge,partial,9.579766,nan,TargetLarge,0.986631,0.000000,0.013369,0.986631,LargeTargets,1.000000,0.000000,1.000000
59000000000,1,TargetMedium,partial,4.754202,nan,TargetMedium,0.923853,0.004547,0.923853,0.071600,LargeTargets,0.995453,0.004547,0.995453
59000000000,2,TargetLarge,partial,11.956504,nan,TargetLarge,0.999913,0.000000,0.000087,0.999913,LargeTargets,1.000000,0.000000,1.000000
60000000000,1,TargetMedium,full,2.620305,0.492220,TargetSmall,0.899667,0.899667,0.099555,0.000777,SmallTargets,0.899667,0.899667,0.100333
60000000000,2,TargetLarge,full,11.887495,1.528163,TargetLarge,0.999916,0.000000,0.000084,0.999916,LargeTargets,1.000000,0.000000,1.000000
60000000000,0,TargetSmall,full,1.366624,0.394000,TargetSmall,0.981391,0.981391,0.018526,0.000083,SmallTargets,0.981391,0.981391,0.018609
61000000000,0,TargetSmall,full,2.681556,0.394000,TargetSmall,0.897836,0.897836,0.101376,0.000788,SmallTargets,0.897836,0.897836,0.102164
61000000000,1,TargetMedium,full,5.832039,0.492220,TargetMedium,0.893177,0.000038,0.893177,0.106785,LargeTargets,0.999962,0.000038,0.999962
61000000000,2,TargetLarge,full,6.791556,1.528163,TargetMedium,0.502820,0.000000,0.502820,0.497180,LargeTargets,1.000000,0.000000,1.000000
62000000000,1,TargetMedium,partial,5.086119,nan,TargetMedium,0.902101,0.000965,0.902101,0.096934,LargeTargets,0.999035,0.000965,0.999035
62000000000,2,TargetLarge,partial,11.717633,nan,TargetLarge,0.999847,0.000000,0.000153,0.999847,LargeTargets,1.000000,0.000000,1.000000
63000000000,1,TargetMedium,partial,4.598899,nan,TargetMedium,0.928815,0.008950,0.928815,0.062235,LargeTargets,0.991050,0.008950,0.991050
63000000000,2,TargetLarge,partial,10.687148,nan,TargetLarge,0.998520,0.000000,0.001480,0.998520,LargeTargets,1.000000,0.000000,1.000000
64000000000,0,TargetSmall,full,1.438549,0.588062,TargetSmall,0.975511,0.975511,0.024368,0.000121,SmallTargets,0.975511,0.975511,0.024489
64000000000,1,TargetMedium,partial,7.155132,nan,TargetLarge,0.571789,0.000000,0.428211,0.571789,LargeTargets,1.000000,0.000000,1.000000
64000000000,2,TargetLarge,partial,8.713433,nan,TargetLarge,0.939149,0.000000,0.060851,0.939149,LargeTargets,1.000000,0.000000,1.000000
65000000000,0,TargetSmall,full,1.753458,0.588062,TargetSmall,0.967908,0.967908,0.031916,0.000176,SmallTargets,0.967908,0.967908,0.032092
65000000000,2,TargetLarge,full,6.295099,1.912009,TargetMedium,0.520885,0.000000,0.520885,0.479115,LargeTargets,1.000000,0.000000,1.000000
65000000000,1,TargetMedium,full,5.694086,0.487413,TargetMedium,0.907504,0.000083,0.907504,0.092413,LargeTargets,0.999917,0.000083,0.999917
66000000000,1,TargetMedium,full,4.514941,0.487413,TargetMedium,0.946224,0.024845,0.946224,0.028932,LargeTargets,0.975155,0.024845,0.975155
66000000000,2,TargetLarge,full,12.455495,1.912009,TargetLarge,0.999988,0.000000,0.000012,0.999988,LargeTargets,1.000000,0.000000,1.000000
67000000000,1,TargetMedium,partial,7.527027,nan,TargetLarge,0.696427,0.000000,0.303573,0.696427,LargeTargets,1.000000,0.000000,1.000000
67000000000,2,TargetLarge,partial,9.284100,nan,TargetLarge,0.977044,0.000000,0.022956,0.977044,LargeTargets,1.000000,0.000000,1.000000
68000000000,1,TargetMedium,partial,4.838023,nan,TargetMedium,0.919638,0.003115,0.919638,0.077248,LargeTargets,0.996885,0.003115,0.996885
68000000000,2,TargetLarge,partial,7.768428,nan,TargetLarge,0.767817,0.000000,0.232183,0.767817,LargeTargets,1.000000,0.000000,1.000000
69000000000,0,TargetSmall,full,2.206934,0.818765,TargetSmall,0.917909,0.917909,0.081468,0.000624,SmallTargets,0.917909,0.917909,0.082091
69000000000,1,TargetMedium,partial,5.328025,nan,TargetMedium,0.878329,0.000286,0.878329,0.121386,LargeTargets,0.999714,0.000286,0.999714
